ID,Card Name,Attribute,Sub Type,Level,ATK,DEF,Card Text,Card Image,Synchro,Tuner,Xyz,Pendulum,Fusion,Ritual,Effect,Extra Deck,
282,Niwatori,Earth,Winged Beast,3,900,800,Swallows enemies whole and uses their essence as energy.,https://ygoprodeck.com/pics/7805359.jpg,No,No,No,No,No,No,No,No,
283,Noble Knight Artorigus,Light,Warrior,4,1800,1800,"No one shall ever know the truth behind
That fateful day. Artorigus went forth
To where the brilliant sword didst lay.
'Twas the first of many feats so great,
A legend through and through. We sing of him,
Artorigus, the Noble and the brave.
-From the Tales of the Noble Knights",https://ygoprodeck.com/pics/92125819.jpg,No,No,No,No,No,No,No,No,
284,Nuvia the Wicked,Dark,Fiend,4,2000,800,"If this monster is Normal Summoned, destroy this card. If your opponent controls any monster, decrease the ATK of this card by 200 points for each monster on your opponent's side of the field.",https://ygoprodeck.com/pics/12953226.jpg,No,No,No,No,No,No,No,No,
285,Octoberser,Water,Aqua,5,1600,1400,"With the head of a fish and the legs of an octopus, this strange creature attacks enemies by flinging spears.",https://ygoprodeck.com/pics/74637266.jpg,No,No,No,No,No,No,No,No,
286,Ocubeam,Light,Fairy,5,1550,1650,"Frightening in appearance, this creature uses its large eyes and ears to keep track of any movement.",https://ygoprodeck.com/pics/86088138.jpg,No,No,No,No,No,No,No,No,
287,Ogre of the Black Shadow,Earth,Beast-Warrior,4,1200,1400,An ogre possessed by the powers of the dark. Few can withstand its rapid charge.,https://ygoprodeck.com/pics/45121025.jpg,No,No,No,No,No,No,No,No,
288,Ojama Black,Light,Beast,2,0,1000,"He's one of the Ojama Trio. It's said that he butts in by any means necessary. It's also said that when the three are together, something happens.",https://ygoprodeck.com/pics/79335209.jpg,No,No,No,No,No,No,No,No,
289,Ojama Green,Light,Beast,2,0,1000,"He's one of the Ojama Trio. It's said that he butts in by any means necessary. It's also said that when the three are together, something happens.",https://ygoprodeck.com/pics/12482652.jpg,No,No,No,No,No,No,No,No,
290,Ojama Yellow,Light,Beast,2,0,1000,"He's one of the Ojama Trio. It's said that he butts in by any means necessary. It's also said that when the three are together, something happens.",https://ygoprodeck.com/pics/42941100.jpg,No,No,No,No,No,No,No,No,
291,One-Eyed Shield Dragon,Wind,Dragon,3,700,1300,"This dragon wears a shield not only for its own protection, but also for ramming its enemies.",https://ygoprodeck.com/pics/33064647.jpg,No,No,No,No,No,No,No,No,
292,Oni Tank T-34,Earth,Machine,4,1400,1700,An armored tank possessed by a fiend that will pursue enemies until they're crushed.,https://ygoprodeck.com/pics/66927994.jpg,No,No,No,No,No,No,No,No,
293,Oppressed People,Water,Aqua,1,400,2000,"They are oppressed, but believe they will have their freedom someday.",https://ygoprodeck.com/pics/58538870.jpg,No,No,No,No,No,No,No,No,
294,Opticlops,Dark,Fiend,4,1800,1700,"A one-eyed giant that serves the ""Dark Ruler Ha Des"",  it skewers its enemies with its sharp horn, shattering them to pieces.",https://ygoprodeck.com/pics/14531242.jpg,No,No,No,No,No,No,No,No,
295,Oscillo Hero,Earth,Warrior,3,1250,700,A strange warrior from another dimension.,https://ygoprodeck.com/pics/82065276.jpg,No,No,No,No,No,No,No,No,
296,Overdrive,Earth,Machine,4,1600,1500,An all-terrain armored vehicle armed with a heavy-duty machine gun.,https://ygoprodeck.com/pics/2311603.jpg,No,No,No,No,No,No,No,No,
297,Parrot Dragon,Wind,Dragon,5,2000,1300,A dragon from the cartoons that's more dangerous than it appears to be.,https://ygoprodeck.com/pics/62762898.jpg,No,No,No,No,No,No,No,No,
298,Peacock,Wind,Winged Beast,5,1700,1500,A large peacock that launches its feathers in a lethal attack.,https://ygoprodeck.com/pics/20624263.jpg,No,No,No,No,No,No,No,No,
299,Pendulum Machine,Dark,Machine,6,1750,2000,A horrible torture machine with a large pendulum blade.,https://ygoprodeck.com/pics/24433920.jpg,No,No,No,No,No,No,No,No,
300,Petit Angel,Light,Fairy,3,600,900,A quick-moving and tiny fairy that's very difficult to hit.,https://ygoprodeck.com/pics/38142739.jpg,No,No,No,No,No,No,No,No,
301,Petit Dragon,Wind,Dragon,2,600,700,A very small dragon known for its vicious attacks.,https://ygoprodeck.com/pics/75356564.jpg,No,No,No,No,No,No,No,No,
302,Petit Moth,Earth,Insect,1,300,200,This small but deadly creature is better off avoided.,https://ygoprodeck.com/pics/58192742.jpg,No,No,No,No,No,No,No,No,
303,Phantasm Spiral Dragon,Water,Wyrm,8,2900,2900,"A ferocious serpent that was being hunted by Atlanteans. Battle-weary and ragged, it came upon an ancient light, and gained new strength for its battle. With its increased power, it launched an invasion of enemy territory with a renewed assault.",https://ygoprodeck.com/pics/56649609.jpg,No,No,No,No,No,No,No,No,
304,Phantom Gryphon,Wind,Winged Beast,4,2000,0,"A legendary monster that dwells secretly in the mountains, fighting with the harpies over hunting grounds. A single wingbeat is said to cause the fiercest of storms.",https://ygoprodeck.com/pics/74852097.jpg,No,No,No,No,No,No,No,No,
305,Pharaoh's Servant,Dark,Zombie,2,900,0,An apparition of those said to formerly serve the Pharaoh. It has tremendous loyalty that does not waiver.,https://ygoprodeck.com/pics/52550973.jpg,No,No,No,No,No,No,No,No,
306,Pharaonic Protector,Earth,Zombie,2,900,0,"The mummy of a soldier that has been guarding the royal family for thousands of years. Even now, its spirit does not allow anybody to trespass.",https://ygoprodeck.com/pics/89959682.jpg,No,No,No,No,No,No,No,No,
307,Pragtical,Earth,Dinosaur,5,1900,1500,"Trakodon + ""Flame Viper""",https://ygoprodeck.com/pics/33691040.jpg,No,No,No,No,Yes,No,No,Yes,
308,Prevent Rat,Earth,Beast,4,500,2000,This creature is shielded with a tough hide of hair and is excellent at defending itself.,https://ygoprodeck.com/pics/549481.jpg,No,No,No,No,No,No,No,No,
309,Prisman,Light,Rock,3,800,1000,This crystalline monster focuses light to create a lethal laser.,https://ygoprodeck.com/pics/80234301.jpg,No,No,No,No,No,No,No,No,
310,Protector of the Throne,Earth,Warrior,4,800,1500,"While the king is away, this queen protects his throne with a mighty defense.",https://ygoprodeck.com/pics/10071456.jpg,No,No,No,No,No,No,No,No,
311,Protron,Earth,Cyberse,1,100,100,Ancestral species found in electronic space. No one knows how much information it holds.,https://ygoprodeck.com/pics/24154052.jpg,No,No,No,No,No,No,No,No,
312,Psychic Kappa,Water,Aqua,2,400,1000,An amphibian with a myriad of powers to shield it from enemy attacks.,https://ygoprodeck.com/pics/7892180.jpg,No,No,No,No,No,No,No,No,
313,PSY-Frame Driver,Light,Psychic,6,2500,0,"A Psychic soldier that rides into battle against the Security Forces on currents of lightning, using an autonomic amplifier called ""PSY-Frame"".",https://ygoprodeck.com/pics/49036338.jpg,No,No,No,No,No,No,No,No,
314,Punished Eagle,Wind,Winged Beast,6,2100,1800,"Blue-Winged Crown + ""Niwatori""",https://ygoprodeck.com/pics/74703140.jpg,No,No,No,No,Yes,No,No,Yes,
315,Queen Bird,Wind,Winged Beast,5,1200,2000,This monster attacks using its huge beak.,https://ygoprodeck.com/pics/73081602.jpg,No,No,No,No,No,No,No,No,
316,Queen of Autumn Leaves,Earth,Plant,5,1800,1500,"Queen of the Emerald Forest and wife of the Spirit King, she lives surrounded by vivid red leaves.",https://ygoprodeck.com/pics/4179849.jpg,No,No,No,No,No,No,No,No,
317,Queen's Knight,Light,Warrior,4,1500,1600,"This knight catches her opponents off guard, dominating them with swift yet graceful attacks.",https://ygoprodeck.com/pics/25652259.jpg,No,No,No,No,No,No,No,No,
318,Rabid Horseman,Earth,Beast-Warrior,6,2000,1700,"Battle Ox + ""Mystic Horseman""",https://ygoprodeck.com/pics/94905343.jpg,No,No,No,No,Yes,No,No,Yes,
319,Rabidragon,Light,Dragon,8,2950,2900,"It's a snowfield-dwelling, giant-ear-sporting, super-acoustic, snowball-shaped mutant dragon! There's no way anybody can escape.",https://ygoprodeck.com/pics/95788410.jpg,No,No,No,No,No,No,No,No,
320,Ray & Temperature,Light,Fairy,3,1000,1000,The Sun and the North Wind join hands to deliver a devastating combination of heat and gale-force winds.,https://ygoprodeck.com/pics/82529174.jpg,No,No,No,No,No,No,No,No,
321,Red Archery Girl,Water,Aqua,4,1400,1500,"A mermaid archer that hides in a protective shell, waiting for the right moment to strike.",https://ygoprodeck.com/pics/65570596.jpg,No,No,No,No,No,No,No,No,
322,Red-Eyes B. Dragon,Dark,Dragon,7,2400,2000,A ferocious dragon with a deadly attack.,https://ygoprodeck.com/pics/74677422.jpg,No,No,No,No,No,No,No,No,
323,Right Arm of the Forbidden One,Dark,Spellcaster,1,200,300,A forbidden right arm sealed by magic. Whosoever breaks this seal will know infinite power.,https://ygoprodeck.com/pics/70903634.jpg,No,No,No,No,No,No,No,No,
324,Right Leg of the Forbidden One,Dark,Spellcaster,1,200,300,A forbidden right leg sealed by magic. Whosoever breaks this seal will know infinite power.,https://ygoprodeck.com/pics/8124921.jpg,No,No,No,No,No,No,No,No,
325,Roaring Ocean Snake,Water,Aqua,6,2100,1800,"Mystic Lamp + ""Hyosube""",https://ygoprodeck.com/pics/19066538.jpg,No,No,No,No,Yes,No,No,Yes,
326,Robolady,Earth,Machine,3,450,900,"A warrior fully covered with metal. It upgrades by fusing with ""Roboyarou"".",https://ygoprodeck.com/pics/92421852.jpg,No,No,No,No,No,No,No,No,
327,Robotic Knight,Fire,Machine,4,1600,1800,"The Commander of Machine-Types, he serves the Machine King. He is famous for the way he controls his troops.",https://ygoprodeck.com/pics/44203504.jpg,No,No,No,No,No,No,No,No,
328,Roboyarou,Earth,Machine,3,900,450,"A warrior fully covered with metal. It upgrades by fusing with ""Robolady"".",https://ygoprodeck.com/pics/38916461.jpg,No,No,No,No,No,No,No,No,
329,Rock Ogre Grotto 1,Earth,Rock,3,800,1200,"Protected by a solid body of rock, this monster throws a bone-shattering punch.",https://ygoprodeck.com/pics/68846917.jpg,No,No,No,No,No,No,No,No,
330,Rogue Doll,Light,Spellcaster,4,1600,1000,"A deadly doll gifted with mystical power, it is particularly powerful when attacking against dark forces.",https://ygoprodeck.com/pics/91939608.jpg,No,No,No,No,No,No,No,No,
331,Root Water,Water,Fish,3,900,800,An amphibian capable of calling up a massive tidal wave from the dark seas to wipe out enemy monsters.,https://ygoprodeck.com/pics/39004808.jpg,No,No,No,No,No,No,No,No,
332,Rude Kaiser,Earth,Beast-Warrior,5,1800,1600,"With an axe in each hand, this monster delivers heavy damage.",https://ygoprodeck.com/pics/26378150.jpg,No,No,No,No,No,No,No,No,
333,Ryu-Kishin,Dark,Fiend,3,1000,500,A very elusive creature that looks like a harmless statue until it attacks.,https://ygoprodeck.com/pics/15303296.jpg,No,No,No,No,No,No,No,No,
334,Ryu-Kishin Powered,Light,Fiend,4,1600,1200,A gargoyle enhanced by the powers of darkness. Very sharp talons make it a worthy opponent.,https://ygoprodeck.com/pics/24611934.jpg,No,No,No,No,No,No,No,No,
335,Ryu-Ran,Fire,Dragon,7,2200,2600,A vicious little dragon sheltered in an egg that looks deceptively harmless.,https://ygoprodeck.com/pics/2964201.jpg,No,No,No,No,No,No,No,No,
336,Sabersaurus,Earth,Dinosaur,4,1900,500,"This normally gentle dinosaur enjoys relaxing in its nest in the prairies. If it becomes angered, it turns terribly ferocious.",https://ygoprodeck.com/pics/37265642.jpg,No,No,No,No,No,No,No,No,
337,Sand Stone,Earth,Rock,5,1300,1600,"Appears from underground and attacks with long, snake-like tentacles.",https://ygoprodeck.com/pics/73051941.jpg,No,No,No,No,No,No,No,No,
338,Science Soldier,Dark,Warrior,3,800,800,Soldiers equipped with state-of-the-art weaponry to face unknown creatures.,https://ygoprodeck.com/pics/67532912.jpg,No,No,No,No,No,No,No,No,
339,Sealmaster Meisei,Dark,Spellcaster,3,1100,900,One of the few people who has a good command of Talismans. His history is a mystery.,https://ygoprodeck.com/pics/2468169.jpg,No,No,No,No,No,No,No,No,
340,Sectarian of Secrets,Dark,Spellcaster,2,700,500,"This wizard worships the darkness, and is served by a sinister hand that drags its enemies into oblivion.",https://ygoprodeck.com/pics/15507080.jpg,No,No,No,No,No,No,No,No,
341,Seiyaryu,Light,Dragon,7,2500,2300,A mystical dragon that burns away the unworthy with its mystic flames.,https://ygoprodeck.com/pics/6740720.jpg,No,No,No,No,No,No,No,No,
342,Sengenjin,Earth,Beast-Warrior,8,2750,2500,An unstoppable savage that carries Millennium Items.,https://ygoprodeck.com/pics/76232340.jpg,No,No,No,No,No,No,No,No,
343,Sentinel of the Seas,Water,Aqua,4,1300,1000,A merman warrior dedicated to defending the ocean against anyone who would defile it.,https://ygoprodeck.com/pics/85448931.jpg,No,No,No,No,No,No,No,No,
344,Serpent Night Dragon,Dark,Dragon,7,2350,2400,A dragon created from the soul of a wicked knight.,https://ygoprodeck.com/pics/66516792.jpg,No,No,No,No,No,No,No,No,
345,Shapesnatch,Dark,Machine,5,1200,1700,"A bow tie with horrible power, it attacks an opponent by controlling others.",https://ygoprodeck.com/pics/4035199.jpg,No,No,No,No,No,No,No,No,
346,Shining Friendship,Light,Fairy,4,1300,1100,The peacemaker among monsters.,https://ygoprodeck.com/pics/82085619.jpg,No,No,No,No,No,No,No,No,
347,Shovel Crusher,Earth,Machine,3,900,1200,"Armed with a pair of shovels, this monster will destroy anything that stands in its way.",https://ygoprodeck.com/pics/71950093.jpg,No,No,No,No,No,No,No,No,
348,Skull Dog Marron,Earth,Beast,4,1350,2000,A lost dog that wandered off 1000 years ago. He's still waiting for his master to come for him.,https://ygoprodeck.com/pics/86652646.jpg,No,No,No,No,No,No,No,No,
349,Skull Knight,Dark,Spellcaster,7,2650,2250,"Tainted Wisdom + ""Ancient Brain""",https://ygoprodeck.com/pics/2504891.jpg,No,No,No,No,Yes,No,No,Yes,
350,Skull Mariner,Water,Warrior,4,1600,900,A pirate ship that appears out of the mist and sinks any seagoing vessels.,https://ygoprodeck.com/pics/5265750.jpg,No,No,No,No,No,No,No,No,
351,Skull Red Bird,Wind,Winged Beast,4,1550,1200,This monster swoops down and attacks with a rain of knives stored in its wings.,https://ygoprodeck.com/pics/10202894.jpg,No,No,No,No,No,No,No,No,
352,Skull Servant,Dark,Zombie,1,300,200,"A skeletal ghost that isn't strong, but can mean trouble in large numbers.",https://ygoprodeck.com/pics/32274490.jpg,No,No,No,No,No,No,No,No,
353,Skull Stalker,Dark,Warrior,3,900,800,"Foist he's gonna grab yer monstah wit' his claws, den attack again wit' his poizin stingah!",https://ygoprodeck.com/pics/54844990.jpg,No,No,No,No,No,No,No,No,
354,Sky Dragon,Wind,Dragon,6,1900,1800,A flying dragon with four wings housing some very dangerous blades.,https://ygoprodeck.com/pics/95288024.jpg,No,No,No,No,No,No,No,No,
355,Sleeping Lion,Earth,Beast,4,700,1700,A ferocious animal that sleeps all day.  Sometimes it's better to let Sleeping Lions lie.,https://ygoprodeck.com/pics/40200834.jpg,No,No,No,No,No,No,No,No,
356,Slot Machine,Dark,Machine,7,2000,2300,The machine's ability is said to vary according to its slot results.,https://ygoprodeck.com/pics/3797883.jpg,No,No,No,No,No,No,No,No,
357,Soitsu,Wind,Fairy,3,0,0,"Apparently totally unreliable, he wonders if he has incredible potential.",https://ygoprodeck.com/pics/60246171.jpg,No,No,No,No,No,No,No,No,
358,Sonic Duck,Wind,Winged Beast,3,1700,700,"A duck which can walk at a sonic speed. Sometimes, he cannot deal with his incredible pace and loses control.",https://ygoprodeck.com/pics/84696266.jpg,No,No,No,No,No,No,No,No,
359,Sonic Maid,Earth,Warrior,3,1200,900,"A maiden that uses sound to her advantage, she wields a scythe that's shaped like a musical note.",https://ygoprodeck.com/pics/38942059.jpg,No,No,No,No,No,No,No,No,
360,Sorcerer of the Doomed,Dark,Spellcaster,4,1450,1200,"A slave of the dark arts, this sorcerer is a master of death-dealing spells.",https://ygoprodeck.com/pics/49218300.jpg,No,No,No,No,No,No,No,No,
361,Soul Tiger,Earth,Beast,4,0,2100,The soul of a tiger that is said to devour human souls. He is a famous soul that you wouldn't want to run into in a dark alley.,https://ygoprodeck.com/pics/15734813.jpg,No,No,No,No,No,No,No,No,
362,Souleater,Earth,Fish,4,1200,0,A living wonder of mystery.,https://ygoprodeck.com/pics/31242786.jpg,No,No,No,No,No,No,No,No,
363,Souls of the Forgotten,Dark,Fiend,2,900,200,A wicked spirit created by the hateful souls of those who fell in battle. It grows by assimilating the souls of its enemies.,https://ygoprodeck.com/pics/4920010.jpg,No,No,No,No,No,No,No,No,
364,Space Mambo,Water,Fish,4,1700,1000,A Space Mambo floating in the vast universe. This living relic was found in the ruins of a super civilization on Alphard 4.,https://ygoprodeck.com/pics/36119641.jpg,No,No,No,No,No,No,No,No,
365,Spherous Lady,Earth,Rock,3,400,1400,Many have been deceived by the beauty of this vampire.,https://ygoprodeck.com/pics/52121290.jpg,No,No,No,No,No,No,No,No,
366,Spike Seadra,Water,Sea Serpent,5,1600,1300,"Using the spikes sprouting from its body, this creature stabs its opponents and floods them with electricity.",https://ygoprodeck.com/pics/85326399.jpg,No,No,No,No,No,No,No,No,
367,Spikebot,Dark,Machine,5,1800,1700,"A mechanical soldier created by a wicked sorcerer, it attacks with the two steel balls attached to its arms.",https://ygoprodeck.com/pics/87511987.jpg,No,No,No,No,No,No,No,No,
368,Spiral Serpent,Water,Sea Serpent,8,2900,2900,"When huge whirlpools lay cities asunder, it is the hunger of this sea serpent at work. No one has ever escaped its dreaded Spiral Wave to accurately describe the terror they experienced.",https://ygoprodeck.com/pics/32626733.jpg,No,No,No,No,No,No,No,No,
369,Spirit of the Books,Wind,Winged Beast,4,1400,1200,"This wise spirit dwells in books, using its accumulated knowledge to defeat enemies.",https://ygoprodeck.com/pics/14037717.jpg,No,No,No,No,No,No,No,No,
370,Spirit of the Harp,Light,Fairy,4,800,2000,A spirit that soothes the soul with the music of its heavenly harp.,https://ygoprodeck.com/pics/80770678.jpg,No,No,No,No,No,No,No,No,
371,St. Joan,Light,Fairy,7,2800,2000,"The Forgiving Maiden + ""Marie the Fallen One""",https://ygoprodeck.com/pics/21175632.jpg,No,No,No,No,Yes,No,No,Yes,
372,Steel Ogre Grotto 1,Earth,Machine,5,1400,1800,A steel idol worshiped in the Land of Machines.,https://ygoprodeck.com/pics/29172562.jpg,No,No,No,No,No,No,No,No,
373,Steel Ogre Grotto 2,Earth,Machine,6,1900,2200,A mechanized iron doll with tremedous strength.,https://ygoprodeck.com/pics/90908427.jpg,No,No,No,No,No,No,No,No,
374,Stone Armadiller,Earth,Rock,3,800,1200,Dis stone crittah's got rock-hahd fur. Dat gives him some really good dee-fense!,https://ygoprodeck.com/pics/63432835.jpg,No,No,No,No,No,No,No,No,
375,Stone Dragon,Earth,Rock,7,2000,2300,A dragon formed by huge boulders that are also used to attack the enemy.,https://ygoprodeck.com/pics/68171737.jpg,No,No,No,No,No,No,No,No,
376,Stone Ogre Grotto,Earth,Rock,5,1600,1500,A behemoth shaped by giant boulders.,https://ygoprodeck.com/pics/15023985.jpg,No,No,No,No,No,No,No,No,
377,Stuffed Animal,Earth,Warrior,3,1200,900,"It may look like a harmless stuffed animal, but its zipper mouth deals a deadly bite.",https://ygoprodeck.com/pics/71068263.jpg,No,No,No,No,No,No,No,No,
378,Succubus Knight,Dark,Warrior,5,1650,1300,A warrior wizard adept in casting bone-chilling spells.,https://ygoprodeck.com/pics/55291359.jpg,No,No,No,No,No,No,No,No,
379,Summoned Skull,Dark,Fiend,6,2500,1200,"A fiend with dark powers for confusing the enemy. Among the Fiend-Type monsters, this monster boasts considerable force.",https://ygoprodeck.com/pics/70781052.jpg,No,No,No,No,No,No,No,No,
380,Sword Arm of Dragon,Earth,Dinosaur,6,1750,2030,"This Jurrasic juggernaut has a spine covered in sword-like plates, and a tail to split open skulls.",https://ygoprodeck.com/pics/13069066.jpg,No,No,No,No,No,No,No,No,
381,Sword Slasher,Dark,Machine,5,1450,1500,A lethal engine of destruction that wields two well-honed blades.,https://ygoprodeck.com/pics/73911410.jpg,No,No,No,No,No,No,No,No,
382,Swordsman of Landstar,Earth,Warrior,3,500,1200,"An amateur with a sword, this fairy warrior relies on its mysterious powers.",https://ygoprodeck.com/pics/3573512.jpg,No,No,No,No,No,No,No,No,
383,Swordstalker,Dark,Warrior,6,2000,1600,A monster formed by the vengeful souls of those who passed away in battle.,https://ygoprodeck.com/pics/50005633.jpg,No,No,No,No,No,No,No,No,
384,Takriminos,Water,Sea Serpent,4,1500,1200,A member of a race of sea serpents that freely travels through the sea.,https://ygoprodeck.com/pics/44073668.jpg,No,No,No,No,No,No,No,No,
385,Takuhee,Wind,Winged Beast,4,1450,1000,This bird is known far and wide as a harbinger of doom.,https://ygoprodeck.com/pics/3170832.jpg,No,No,No,No,No,No,No,No,
386,Temple of Skulls,Dark,Zombie,4,900,1300,A mysterious temple of skulls and bones that pulls in unsuspecting enemies.,https://ygoprodeck.com/pics/732302.jpg,No,No,No,No,No,No,No,No,
387,Terra the Terrible,Dark,Fiend,4,1200,1300,"Known as a swamp dweller, this creature is a minion of the dark forces.",https://ygoprodeck.com/pics/63308047.jpg,No,No,No,No,No,No,No,No,
388,Terrorking Salmon,Water,Fish,5,2400,1000,"A feared salmon, master of the Sea of Darkness. Its roe is the best delicacy in the World of Darkness.",https://ygoprodeck.com/pics/78060096.jpg,No,No,No,No,No,No,No,No,
389,The All-Seeing White Tiger,Wind,Beast,3,1300,500,A proud ruler of the jungle that some fear and others respect.,https://ygoprodeck.com/pics/32269855.jpg,No,No,No,No,No,No,No,No,
390,The Forgiving Maiden,Light,Fairy,4,850,2000,Offer this face-up card as a Tribute to return 1 of your monsters destroyed in battle during this turn to your hand.,https://ygoprodeck.com/pics/84080939.jpg,No,No,No,No,No,No,No,No,
391,The Furious Sea King,Water,Aqua,3,800,700,"Grand King of the Seven Seas, he's able to summon massive tidal waves to drown the enemy.",https://ygoprodeck.com/pics/18710707.jpg,No,No,No,No,No,No,No,No,
392,The Gross Ghost of Fled Dreams,Dark,Fiend,4,1300,1800,"This monster feeds on the dreams of an unwary sleeper, dragging the victim into eternal slumber.",https://ygoprodeck.com/pics/68049471.jpg,No,No,No,No,No,No,No,No,
393,The Illusory Gentleman,Dark,Spellcaster,4,1500,1600,"Wearing odd fashions, this gentleman is very fickle. He sometimes saves people and at other times commits crimes.",https://ygoprodeck.com/pics/83764996.jpg,No,No,No,No,No,No,No,No,
394,The Judgement Hand,Earth,Warrior,3,1400,700,An all-powerful hand that delivers ruthless attacks.,https://ygoprodeck.com/pics/28003512.jpg,No,No,No,No,No,No,No,No,
395,The Portrait's Secret,Earth,Fiend,4,1200,1500,"A portrait cursed by the artist, it is said to bring ill fortune to anyone who owns it.",https://ygoprodeck.com/pics/32541773.jpg,No,No,No,No,No,No,No,No,
396,The Snake Hair,Dark,Zombie,4,1500,1200,A monster with a head of poison snakes. One look from this monster can turn an opponent to stone.,https://ygoprodeck.com/pics/29491031.jpg,No,No,No,No,No,No,No,No,
397,Thousand Dragon,Wind,Dragon,7,2400,2000,"""Time Wizard"" + ""Baby Dragon""",https://ygoprodeck.com/pics/41462083.jpg,No,No,No,No,Yes,No,No,Yes,
398,Thousand-Eyes Idol,Dark,Spellcaster,1,0,0,"A wicked entity that controls the hearts of men, its thousand eyes are able to see and expand the negative influences in an individual's soul.",https://ygoprodeck.com/pics/27125110.jpg,No,No,No,No,No,No,No,No,
399,Three-Headed Geedo,Dark,Fiend,4,1200,1400,A three-headed nocturnal monster that is absolutely ruthless when fighting.,https://ygoprodeck.com/pics/78423643.jpg,No,No,No,No,No,No,No,No,
400,Three-Legged Zombies,Dark,Zombie,3,1100,800,"A pair of friendly skeletons, lean and fat, that travel with extreme difficulty.",https://ygoprodeck.com/pics/33734439.jpg,No,No,No,No,No,No,No,No,
401,Thunder Kid,Wind,Thunder,2,700,600,"This monster stores electricity within his body, and can unleash it with incredible power.",https://ygoprodeck.com/pics/15510988.jpg,No,No,No,No,No,No,No,No,
402,Tiger Axe,Earth,Beast-Warrior,4,1300,1100,A fast and powerful axe-wielding beast-warrior.,https://ygoprodeck.com/pics/49791927.jpg,No,No,No,No,No,No,No,No,
403,Tomozaurus,Earth,Dinosaur,2,500,400,"Small but vicious, this monster even attacks its own kind.",https://ygoprodeck.com/pics/46457856.jpg,No,No,No,No,No,No,No,No,
404,Tongyo,Water,Fish,4,1350,800,This monster captures other fish with its long tongue and sucks the energy out of them.,https://ygoprodeck.com/pics/69572024.jpg,No,No,No,No,No,No,No,No,
405,Toon Alligator,Water,Reptile,4,800,1600,An alligator monster straight from the cartoons.,https://ygoprodeck.com/pics/59383041.jpg,No,No,No,No,No,No,No,No,
406,Trakodon,Earth,Dinosaur,3,1300,800,A tiger-striped dragon that is often seen racing across the wasteland at tremendous speeds.,https://ygoprodeck.com/pics/42348802.jpg,No,No,No,No,No,No,No,No,
407,Trance the Magic Swordsman,Earth,Spellcaster,6,2600,200,"A peculiar magician with considerable abilities. Supposedly, he's just returned from a trip to outer space.",https://ygoprodeck.com/pics/14214060.jpg,No,No,No,No,No,No,No,No,
408,Trent,Earth,Plant,5,1500,1800,"A guardian of the woods, this massive tree is believed to be immortal.",https://ygoprodeck.com/pics/78780140.jpg,No,No,No,No,No,No,No,No,
409,Trial of Nightmare,Dark,Fiend,4,1300,900,This fiend passes judgment on enemies that are locked in coffins.,https://ygoprodeck.com/pics/77827521.jpg,No,No,No,No,No,No,No,No,
410,Tri-Horned Dragon,Dark,Dragon,8,2850,2350,An unworthy dragon with three sharp horns sprouting from its head.,https://ygoprodeck.com/pics/39111158.jpg,No,No,No,No,No,No,No,No,
411,Turtle Bird,Water,Aqua,6,1900,1700,"An unusual turtle that not only swims at tremendous speeds, but can also sail across the skies.",https://ygoprodeck.com/pics/72929454.jpg,No,No,No,No,No,No,No,No,
412,Turtle Tiger,Water,Aqua,4,1000,1500,A tiger encased in a protective shell that attacks with razor-sharp fangs.,https://ygoprodeck.com/pics/37313348.jpg,No,No,No,No,No,No,No,No,
413,Turu-Purun,Water,Aqua,2,450,500,"A strange, one-eyed monster that can fell an enemy with a single stab of its spear.",https://ygoprodeck.com/pics/59053232.jpg,No,No,No,No,No,No,No,No,
414,Twin Long Rods 2,Water,Aqua,3,850,700,An amphibious creature with two whip-like tails.,https://ygoprodeck.com/pics/29692206.jpg,No,No,No,No,No,No,No,No,
415,Twin-Headed Fire Dragon,Fire,Pyro,6,2200,1700,Two dragons fused as one from the effects of the Big Bang.,https://ygoprodeck.com/pics/78984772.jpg,No,No,No,No,No,No,No,No,
416,Two-Headed King Rex,Earth,Dinosaur,4,1600,1200,A powerful monster whose two heads attack as one.,https://ygoprodeck.com/pics/94119974.jpg,No,No,No,No,No,No,No,No,
417,Tyhone,Wind,Winged Beast,4,1200,1400,"Capable of firing cannonballs from its mouth for long-range attacks, this creature is particularly effective in mountain battles.",https://ygoprodeck.com/pics/72842870.jpg,No,No,No,No,No,No,No,No,
418,Tyhone 2,Fire,Dragon,6,1700,1900,A crimson dragon that spits fireballs to create a blazing sea of fire.,https://ygoprodeck.com/pics/56789759.jpg,No,No,No,No,No,No,No,No,
419,Unicycular,Earth,Machine,1,100,100,"The third of the brothers, following Tricular and Bicular.",https://ygoprodeck.com/pics/57308711.jpg,No,No,No,No,No,No,No,No,
420,United Resistance,Wind,Thunder,3,1000,400,The people that gather to swear to fight their oppressors. A revolution is coming.,https://ygoprodeck.com/pics/85936485.jpg,No,No,No,No,No,No,No,No,
421,Unknown Warrior of Fiend,Dark,Warrior,3,1000,500,A deadly duo consisting of a beast master and its loyal servant.,https://ygoprodeck.com/pics/97360116.jpg,No,No,No,No,No,No,No,No,
422,Uraby,Earth,Dinosaur,4,1500,800,"Fast on its feet, this dinosaur rips enemies to shreds with its sharp claws.",https://ygoprodeck.com/pics/1784619.jpg,No,No,No,No,No,No,No,No,
